conversation_id,merged_user_text,timestamp
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,"user mesajı 1. Kına
user mesajı 2. Diyarbakır’da hem düğün hem kına
user mesajı 3. 2 ay sonra düşünüyoruz 700 davetli gelecek ikram olarak içecek ve ,pasta ve meşrubat istiyoruz
user mesajı 4. Mekan ve fotoğraf ,100 bin tl bütçemiz var kapalı alanda
user mesajı 5. Davet sayısını 600 e çekelim o zaman",2025-06-10 19:33:51
9f1fb51c-a029-4691-973d-63772a5f82ab,"user mesajı 1. Düğün
user mesajı 2. Adıyaman Kahta
user mesajı 3. Ağustos ayı
user mesajı 4. 200 e Yakın
user mesajı 5. Yemekli
user mesajı 6. Açık yada kapalı düğün salonu
user mesajı 7. 500
user mesajı 8. Adıyaman Kahta köşk düğün salonu",2025-06-10 19:55:19
9f1fb55f-544f-4c63-bcf0-4bba9aa984d5,"user mesajı 1. Kına
user mesajı 2. Abiye istiyorum
user mesajı 3. İstanbul Türkiye bütçe 4000 bin TL
user mesajı 4. Bağcılar Esenler
user mesajı 5. Ok
user mesajı 6. Peki uygun fiyata olnine site bula bilirmisib",2025-06-10 19:56:19
9f1fc574-98e7-4e66-b86c-e77c51347f3b,"user mesajı 1. Düğün
user mesajı 2. 2025.11.15
user mesajı 3. Düğün mekanı",2025-06-10 20:41:04
9f1fd866-240c-42d0-a3b5-84133bcba6fb,"user mesajı 1. Merbah
user mesajı 2. Şeşi
user mesajı 3. https://images.app.goo.gl/cid7SnWHy1pyLv118",2025-06-10 21:34:31
9f1fda47-f4d0-4293-ac53-8b46ff243af4,"user mesajı 1. Nişan
user mesajı 2. Nişanlık beğenmiştim de onu
user mesajı 3. Fiyatı ne kadar",2025-06-10 21:39:15
9f208c53-9dd0-4a3c-bcfc-2e880230d355,"user mesajı 1. Düğün
user mesajı 2. 23.08.25 pastalı olcak 600 kişi
user mesajı 3. Konya da olacak
user mesajı 4. 100",2025-06-11 05:57:04
9f209ce4-52c0-4749-87a6-4dd467d90ad3,"user mesajı 1. merhaba
user mesajı 2. okulumuzun mezuniyet töreni için fiyat almak istiyorum
user mesajı 3. istanbul tuzla
user mesajı 4. 28-29 haziran
user mesajı 5. yemek ve pasta
user mesajı 6. toplamda 50 kişi
user mesajı 7. en düşük fiyat önerilerinizi öğrenirsem daha iyi olur
user mesajı 8. açık kapalı fark etmez
user mesajı 9. kapalı alan olan var mı
user mesajı 10. tamam önerilerinizi inceleyim
user mesajı 11. resim ve video çekimi de istiyorum
user mesajı 12. çekimler tören sırasında olacak
user mesajı 13. fotoğraf ve video çekimi olacak
user mesajı 14. en uygun olanları verebilirseniz sevinirim
user mesajı 15. tekrar merhaba
user mesajı 16. temenye quın garden için
user mesajı 17. 28 haziran akşam saatlerinde  yemek - pasta - ve fotoğraf video çekimi içinde 50 kişilik fiyat teklifi alabilir miyim",2025-06-11 06:43:30
9f20adf9-c1fe-48cf-9764-9295851df285,"user mesajı 1. Nişan
user mesajı 2. Manisa Salihli 24 Haziran 2025 150 davetli
user mesajı 3. Sadece mekan
user mesajı 4. Hicbiri",2025-06-11 07:31:11
9f20b600-d0ba-4b3b-8a79-fbc063130a19,"user mesajı 1. 19 ekim sünnet düğünü salonu
user mesajı 2. Kocaeli gebze
user mesajı 3. 350 400 pasta ö
user mesajı 4. Mest5
user mesajı 5. 45 milyar
user mesajı 6. Gebze sadece",2025-06-11 07:53:49
